fil,ss,prot,rep,sub,condition
../results/xlsites/ctrl_notag_UBC4_AC_long_DBR1_exp23.small.Aligned.out.sorted.cdnacounts,AC,wt,rep1,UBC4,ctrl
../results/xlsites/ctrl_notag_Prp16_G378A_UBC4_AC_long_DBR1_exp23.small.Aligned.out.sorted.cdnacounts,AC,dn,rep1,UBC4,ctrl
../results/xlsites/ctrl_notag_Prp16_G378A_UBC4_WT_long_DBR1_exp24.small.Aligned.out.sorted.cdnacounts,WT,dn,rep1,UBC4,ctrl
../results/xlsites/Prp16-FLAG_UBC4_AC_long_DBR1_exp23.small.Aligned.out.sorted.cdnacounts,AC,wt,rep1,UBC4,UV
../results/xlsites/Prp16_G378A-FLAG_UBC4_AC_long_DBR1_exp23.small.Aligned.out.sorted.cdnacounts,AC,dn,rep1,UBC4,UV
../results/xlsites/Prp16-G378A-FLAG_UBC4_WT_long_DBR1_exp24.small.Aligned.out.sorted.cdnacounts,WT,dn,rep1,UBC4,UV
../results/xlsites/ctrl_notag_UV_ACT1_AC_exp29.small.Aligned.out.sorted.cdnacounts,AC,wt,rep1,ACT1,ctrl
../results/xlsites/ctrl_notag_UV_ACT1_AC_Prp16_G378A_exp29.small.Aligned.out.sorted.cdnacounts,AC,dn,rep1,ACT1,ctrl
../results/xlsites/ctrl_notag_UV_ACT1_WT_Prp16_G378A_exp29.small.Aligned.out.sorted.cdnacounts,WT,dn,rep1,ACT1,ctrl
../results/xlsites/Prp16_FLAG_ACT1_AC_exp29.small.Aligned.out.sorted.cdnacounts,AC,wt,rep1,ACT1,UV
../results/xlsites/Prp16_G378A_FLAG_ACT1_AC_exp29.small.Aligned.out.sorted.cdnacounts,AC,dn,rep1,ACT1,UV
../results/xlsites/Prp16_G378A_FLAG_ACT1_WT_exp29.small.Aligned.out.sorted.cdnacounts,WT,dn,rep1,ACT1,UV
../results/xlsites/ctrl_notag_UV_UBC4_AC_long_exp30.small.Aligned.out.sorted.cdnacounts,AC,wt,rep2,UBC4,ctrl
../results/xlsites/ctrl_notag_Prp16_G378A_UV_UBC4_AC_long_exp30.small.Aligned.out.sorted.cdnacounts,AC,dn,rep2,UBC4,ctrl
../results/xlsites/ctrl_notag_Prp16_G378A_UV_UBC4_WT_long_exp30.small.Aligned.out.sorted.cdnacounts,WT,dn,rep2,UBC4,ctrl
../results/xlsites/Prp16_FLAG_UBC4_AC_long_exp30.small.Aligned.out.sorted.cdnacounts,AC,wt,rep2,UBC4,UV
../results/xlsites/Prp16_G378A_FLAG_UBC4_AC_long_exp30.small.Aligned.out.sorted.cdnacounts,AC,dn,rep2,UBC4,UV
../results/xlsites/Prp16_G378A_FLAG_UBC4_WT_long_exp30.small.Aligned.out.sorted.cdnacounts,WT,dn,rep2,UBC4,UV
../results/xlsites/ctrl_notag_UV_ACT1_AC_Prp16_exp31.small.Aligned.out.sorted.cdnacounts,AC,wt,rep2,ACT1,ctrl
../results/xlsites/ctrl_notag_UV_ACT1_AC_Prp16_G378A_exp31.small.Aligned.out.sorted.cdnacounts,AC,dn,rep2,ACT1,ctrl
../results/xlsites/ctrl_notag_UV_ACT1_WT_Prp16_G378A_exp31.small.Aligned.out.sorted.cdnacounts,WT,dn,rep2,ACT1,ctrl
../results/xlsites/Prp16_FLAG_ACT1_AC_exp31.small.Aligned.out.sorted.cdnacounts,AC,wt,rep2,ACT1,UV
../results/xlsites/Prp16_G378A-FLAG_ACT1_AC_exp31.small.Aligned.out.sorted.cdnacounts,AC,dn,rep2,ACT1,UV
../results/xlsites/Prp16_G378A-FLAG_ACT1_WT_exp31.small.Aligned.out.sorted.cdnacounts,WT,dn,rep2,ACT1,UV
../results/xlsites/ctrl_no_FLAGed_protein_UV_UBC4_AC_long_exp15.small.Aligned.out.sorted.cdnacounts,AC,wt,rep3,UBC4,ctrl
../results/xlsites/ctrl_no_FLAGed_protein_UV_UBC4_WT_long_exp16.small.Aligned.out.sorted.cdnacounts,AC,dn,rep3,UBC4,ctrl
../results/xlsites/ctrl_no_FLAGed_protein_UV_UBC4_AC_long_exp15.small.Aligned.out.sorted.cdnacounts,WT,dn,rep3,UBC4,ctrl
../results/xlsites/PRP16_FLAG_UBC4_AC_long_exp15.small.Aligned.out.sorted.cdnacounts,AC,wt,rep3,UBC4,UV
../results/xlsites/PRP16_G378A_FLAG_UBC4_AC_long_exp15.small.Aligned.out.sorted.cdnacounts,AC,dn,rep3,UBC4,UV
../results/xlsites/PRP16_G378A_FLAG_UBC4_WT_long_exp16.small.Aligned.out.sorted.cdnacounts,WT,dn,rep3,UBC4,UV
../results/xlsites/ctrl_notag_UV_ACT1_AC_Prp16_DBR1_exp32.small.Aligned.out.sorted.cdnacounts,AC,wt,rep3,ACT1,ctrl
../results/xlsites/ctrl_notag_UV_ACT1_AC_Prp16_G378A_DBR1_exp32.small.Aligned.out.sorted.cdnacounts,AC,dn,rep3,ACT1,ctrl
../results/xlsites/ctrl_notag_UV_ACT1_WT_Prp16_G378A_DBR1_exp32.small.Aligned.out.sorted.cdnacounts,WT,dn,rep3,ACT1,ctrl
../results/xlsites/Prp16_FLAG_ACT1_AC_DBR1_exp32.small.Aligned.out.sorted.cdnacounts,AC,wt,rep3,ACT1,UV
../results/xlsites/Prp16_G378A-FLAG_ACT1_AC_DBR1_exp32.small.Aligned.out.sorted.cdnacounts,AC,dn,rep3,ACT1,UV
../results/xlsites/Prp16_G378A-FLAG_ACT1_WT_DBR1_exp32.small.Aligned.out.sorted.cdnacounts,WT,dn,rep3,ACT1,UV
