fil,ss,prot,rep,sub,condition,complex
../results/xlsites/Prp22_yeast_ACT1_WT_DBR1_Prp18kd_exp48.small.Aligned.out.sorted.cdnacounts,AG,wt,rep1,ACT1,UV,Prp18KD
../results/xlsites/Prp22_yeast_ACT1_WT_DBR1_Prp18kd_exp49.small.Aligned.out.sorted.cdnacounts,AG,wt,rep2,ACT1,UV,Prp18KD
../results/xlsites/Prp22_K512A_yeast_ACT1_WT_DBR1_Prp18kd_exp52.small.Aligned.out.sorted.cdnacounts,AG,dn,rep1,ACT1,UV,Prp18KD
../results/xlsites/Prp22_K512A_yeast_ACT1_WT_DBR1_Prp18kd_exp53.small.Aligned.out.sorted.cdnacounts,AG,dn,rep2,ACT1,UV,Prp18KD
../results/xlsites/Prp22_yeast_ACT1_dG_DBR1_Prp18kd_exp46.small.Aligned.out.sorted.cdnacounts,DG,wt,rep1,ACT1,UV,Prp18KD
../results/xlsites/Prp22_yeast_ACT1_dG_DBR1_Prp18kd_exp47.small.Aligned.out.sorted.cdnacounts,DG,wt,rep2,ACT1,UV,Prp18KD
../results/xlsites/Prp22_K512A_yeast_ACT1_dG_DBR1_Prp18kd_exp50.small.Aligned.out.sorted.cdnacounts,DG,dn,rep1,ACT1,UV,Prp18KD
../results/xlsites/Prp22_K512A_yeast_ACT1_dG_DBR1_Prp18kd_exp51.small.Aligned.out.sorted.cdnacounts,DG,dn,rep2,ACT1,UV,Prp18KD
../results/xlsites/Prp22-FLAG-His_yeast_ACT1_dG_Prp22_DBR1_exp39.small.Aligned.out.sorted.cdnacounts,DG,wt,rep1,ACT1,UV,WTbg
../results/xlsites/Prp22_K521A-FLAG-His_yeast_ACT1_dG_Prp22_K512A_DBR1_exp39.small.Aligned.out.sorted.cdnacounts,DG,dn,rep1,ACT1,UV,WTbg
../results/xlsites/Prp22-FLAG-His_yeast_ACT1_dG_Prp22_DBR1_exp41.small.Aligned.out.sorted.cdnacounts,DG,wt,rep2,ACT1,UV,WTbg
../results/xlsites/Prp22_K521A-FLAG-His_yeast_ACT1_dG_Prp22_K512A_DBR1_exp41.small.Aligned.out.sorted.cdnacounts,DG,dn,rep2,ACT1,UV,WTbg
../results/xlsites/ctrl_yeast_ACT1_WT_Prp22_DBR1_Prp18kd_exp48.small.Aligned.out.sorted.cdnacounts,AG,wt,rep1,ACT1,ctrl,Prp18KD
../results/xlsites/ctrl_yeast_ACT1_WT_Prp22_DBR1_Prp18kd_exp49.small.Aligned.out.sorted.cdnacounts,AG,wt,rep2,ACT1,ctrl,Prp18KD
../results/xlsites/ctrl_yeast_ACT1_WT_Prp22_K512A_DBR1_Prp18kd_exp52.small.Aligned.out.sorted.cdnacounts,AG,dn,rep1,ACT1,ctrl,Prp18KD
../results/xlsites/ctrl_yeast_ACT1_WT_Prp22_K512A_DBR1_Prp18kd_exp53.small.Aligned.out.sorted.cdnacounts,AG,dn,rep2,ACT1,ctrl,Prp18KD
../results/xlsites/ctrl_yeast_ACT1_dG_Prp22_DBR1_Prp18kd_exp46.small.Aligned.out.sorted.cdnacounts,DG,wt,rep1,ACT1,ctrl,Prp18KD
../results/xlsites/ctrl_yeast_ACT1_dG_Prp22_DBR1_Prp18kd_exp47.small.Aligned.out.sorted.cdnacounts,DG,wt,rep2,ACT1,ctrl,Prp18KD
../results/xlsites/ctrl_yeast_ACT1_dG_Prp22_K512A_DBR1_Prp18kd_exp50.small.Aligned.out.sorted.cdnacounts,DG,dn,rep1,ACT1,ctrl,Prp18KD
../results/xlsites/ctrl_yeast_ACT1_dG_Prp22_K512A_DBR1_Prp18kd_exp51.small.Aligned.out.sorted.cdnacounts,DG,dn,rep2,ACT1,ctrl,Prp18KD
../results/xlsites/ctrl_yeast_ACT1_dG_Prp22_K512A_DBR1_exp39.small.Aligned.out.sorted.cdnacounts,DG,wt,rep1,ACT1,ctrl,WTbg
../results/xlsites/ctrl_yeast_ACT1_dG_Prp22_K512A_DBR1_exp41.small.Aligned.out.sorted.cdnacounts,DG,wt,rep2,ACT1,ctrl,WTbg
../results/xlsites/ctrl_yeast_ACT1_dG_Prp22_DBR1_exp39.small.Aligned.out.sorted.cdnacounts,DG,dn,rep1,ACT1,ctrl,WTbg
../results/xlsites/ctrl_yeast_ACT1_dG_Prp22_DBR1_exp41.small.Aligned.out.sorted.cdnacounts,DG,dn,rep2,ACT1,ctrl,WTbg
